NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;13;5;2;0.303000;39;156;156
1;12;4;2;0.300000;39;60;60
2;13;5;2;0.303000;39;60;60
3;14;6;4;0.306000;39;60;60
4;15;7;3;0.309000;39;60;60
5;16;8;3;0.312000;39;60;60
6;17;9;4;0.315000;39;60;60
7;18;10;3;0.318000;39;60;60
8;19;11;3;0.321000;39;60;60
9;20;12;9;0.324000;39;60;60
10;21;13;5;0.327000;39;60;60
11;22;14;5;0.330000;39;60;60
12;23;15;8;0.333000;39;60;60
13;24;16;7;0.336000;39;60;60
14;25;17;12;0.339000;39;60;60
15;26;18;13;0.342000;39;60;60
16;27;19;11;0.345000;39;60;60
17;28;20;12;0.348000;39;60;60
18;29;21;15;0.351000;39;60;60
19;30;22;18;0.354000;39;60;60
20;31;23;16;0.357000;39;60;60
21;32;24;20;0.360000;39;60;60
22;33;25;18;0.363000;39;60;60
23;34;26;20;0.366000;39;60;60
24;35;27;26;0.369000;39;60;60
25;36;28;23;0.372000;39;60;60
26;37;29;17;0.375000;39;60;60
27;38;30;20;0.378000;39;60;60
28;39;31;23;0.381000;39;60;60
29;40;32;35;0.384000;39;60;60
30;41;33;27;0.387000;39;60;60
31;42;34;36;0.390000;39;60;60
32;43;35;28;0.393000;39;60;60
33;44;36;27;0.396000;39;60;60
34;45;37;38;0.399000;39;60;60
35;12;4;43;0.300000;39;55;55
36;12;4;17;0.300000;39;52;52
37;13;5;8;0.303000;39;52;52
38;14;6;5;0.306000;39;52;52
39;15;7;0;0.309000;39;52;52
40;16;8;6;0.312000;39;52;52
41;17;9;8;0.315000;39;52;52
42;18;10;10;0.318000;39;52;52
43;19;11;9;0.321000;39;52;52
44;20;12;9;0.324000;39;52;52
45;21;13;6;0.327000;39;52;52
46;22;14;5;0.330000;39;52;52
47;23;15;11;0.333000;39;52;52
48;24;16;10;0.336000;39;52;52
49;25;17;7;0.339000;39;52;52
50;26;18;7;0.342000;39;52;52
51;12;4;10;0.300000;39;51;51
52;13;5;8;0.303000;39;51;51
53;14;6;4;0.306000;39;51;51
54;15;7;4;0.309000;39;51;51
55;16;8;2;0.312000;39;51;51
56;17;9;2;0.315000;39;51;51
