NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;13;4;4;0.300000;39;148;148
1;14;4;1;0.300000;39;148;148
2;15;4;2;0.300000;39;148;148
3;12;4;1;0.300000;39;124;124
4;13;4;0;0.300000;39;124;124
5;14;4;3;0.300000;39;124;124
6;12;4;4;0.300000;39;73;73
7;13;4;0;0.300000;39;73;73
8;14;4;3;0.300000;39;73;73
9;15;4;5;0.300000;39;73;73
10;16;4;1;0.300000;39;73;73
11;17;4;5;0.300000;39;73;73
12;18;4;1;0.300000;39;73;73
13;19;4;1;0.300000;39;73;73
14;20;4;1;0.300000;39;73;73
15;21;4;2;0.300000;39;73;73
16;22;4;3;0.300000;39;73;73
17;23;4;3;0.300000;39;73;73
18;24;4;1;0.300000;39;73;73
19;25;4;2;0.300000;39;73;73
20;12;4;5;0.300000;39;70;70
21;13;4;3;0.300000;39;70;70
22;12;4;5;0.300000;39;68;68
23;13;4;2;0.300000;39;68;68
24;14;4;3;0.300000;39;68;68
25;15;4;3;0.300000;39;68;68
26;16;4;2;0.300000;39;68;68
27;17;4;0;0.300000;39;68;68
28;18;4;2;0.300000;39;68;68
29;19;4;0;0.300000;39;68;68
30;20;4;1;0.300000;39;68;68
31;21;4;3;0.300000;39;68;68
32;22;4;1;0.300000;39;68;68
33;23;4;2;0.300000;39;68;68
34;24;4;1;0.300000;39;68;68
35;25;4;2;0.300000;39;68;68
36;12;4;1;0.300000;39;61;61
37;13;4;1;0.300000;39;61;61
38;14;4;2;0.300000;39;61;61
39;12;4;4;0.300000;39;54;54
40;13;4;3;0.300000;39;54;54
41;14;4;2;0.300000;39;54;54
42;15;4;1;0.300000;39;54;54
43;16;4;1;0.300000;39;54;54
44;17;4;2;0.300000;39;54;54
45;18;4;2;0.300000;39;54;54
46;19;4;2;0.300000;39;54;54
47;20;4;3;0.300000;39;54;54
48;21;4;3;0.300000;39;54;54
49;22;4;3;0.300000;39;54;54
50;23;4;7;0.300000;39;54;54
51;24;4;2;0.300000;39;54;54
52;25;4;4;0.300000;39;54;54
53;26;4;3;0.300000;39;54;54
54;27;4;4;0.300000;39;54;54
55;28;4;0;0.300000;39;54;54
56;29;4;2;0.300000;39;54;54
57;30;4;1;0.300000;39;54;54
58;31;4;0;0.300000;39;54;54
59;32;4;2;0.300000;39;54;54
60;33;4;3;0.300000;39;54;54
61;34;4;4;0.300000;39;54;54
62;35;4;3;0.300000;39;54;54
63;36;4;3;0.300000;39;54;54
64;37;4;6;0.300000;39;54;54
65;38;4;4;0.300000;39;54;54
66;39;4;1;0.300000;39;54;54
67;40;4;4;0.300000;39;54;54
68;41;4;2;0.300000;39;54;54
69;42;4;1;0.300000;39;54;54
70;12;4;3;0.300000;39;52;52
71;13;4;2;0.300000;39;52;52
72;14;4;2;0.300000;39;52;52
73;15;4;3;0.300000;39;52;52
74;12;4;0;0.300000;39;49;49
75;13;4;3;0.300000;39;49;49
76;14;4;3;0.300000;39;49;49
77;15;4;4;0.300000;39;49;49
78;16;4;1;0.300000;39;49;49
79;17;4;1;0.300000;39;49;49
80;18;4;0;0.300000;39;49;49
81;12;4;5;0.300000;39;47;47
82;13;4;4;0.300000;39;47;47
83;14;4;3;0.300000;39;47;47
84;15;4;2;0.300000;39;47;47
85;16;4;4;0.300000;39;47;47
86;17;4;2;0.300000;39;47;47
87;18;4;2;0.300000;39;47;47
88;19;4;3;0.300000;39;47;47
89;20;4;1;0.300000;39;47;47
90;21;4;1;0.300000;39;47;47
91;22;4;3;0.300000;39;47;47
92;23;4;4;0.300000;39;47;47
93;24;4;3;0.300000;39;47;47
94;25;4;2;0.300000;39;47;47
95;26;4;2;0.300000;39;47;47
96;27;4;4;0.300000;39;47;47
97;28;4;4;0.300000;39;47;47
98;29;4;2;0.300000;39;47;47
99;30;4;0;0.300000;39;47;47
100;31;4;1;0.300000;39;47;47
101;32;4;6;0.300000;39;47;47
102;33;4;0;0.300000;39;47;47
103;34;4;1;0.300000;39;47;47
104;35;4;1;0.300000;39;47;47
105;36;4;7;0.300000;39;47;47
106;37;4;6;0.300000;39;47;47
107;38;4;4;0.300000;39;47;47
108;39;4;3;0.300000;39;47;47
109;40;4;3;0.300000;39;47;47
110;41;4;5;0.300000;39;47;47
111;42;4;6;0.300000;39;47;47
112;43;4;1;0.300000;39;47;47
113;44;4;1;0.300000;39;47;47
114;45;4;1;0.300000;39;47;47
115;46;4;2;0.300000;39;47;47
116;47;4;5;0.300000;39;47;47
117;48;4;3;0.300000;39;47;47
118;49;4;1;0.300000;39;47;47
119;50;4;5;0.300000;39;47;47
120;12;4;3;0.300000;39;44;44
121;13;4;4;0.300000;39;44;44
122;14;4;3;0.300000;39;44;44
123;15;4;3;0.300000;39;44;44
124;16;4;3;0.300000;39;44;44
125;17;4;4;0.300000;39;44;44
126;18;4;5;0.300000;39;44;44
127;19;4;6;0.300000;39;44;44
128;20;4;5;0.300000;39;44;44
129;21;4;3;0.300000;39;44;44
130;22;4;5;0.300000;39;44;44
131;23;4;5;0.300000;39;44;44
132;24;4;5;0.300000;39;44;44
133;25;4;2;0.300000;39;44;44
134;26;4;2;0.300000;39;44;44
135;27;4;1;0.300000;39;44;44
136;28;4;3;0.300000;39;44;44
137;29;4;3;0.300000;39;44;44
138;30;4;3;0.300000;39;44;44
139;31;4;3;0.300000;39;44;44
140;32;4;2;0.300000;39;44;44
141;33;4;0;0.300000;39;44;44
142;34;4;1;0.300000;39;44;44
143;35;4;2;0.300000;39;44;44
144;36;4;5;0.300000;39;44;44
145;37;4;4;0.300000;39;44;44
146;38;4;4;0.300000;39;44;44
147;39;4;3;0.300000;39;44;44
148;40;4;3;0.300000;39;44;44
149;41;4;2;0.300000;39;44;44
150;42;4;1;0.300000;39;44;44
151;43;4;2;0.300000;39;44;44
152;44;4;3;0.300000;39;44;44
153;45;4;2;0.300000;39;44;44
154;46;4;2;0.300000;39;44;44
155;47;4;3;0.300000;39;44;44
156;48;4;5;0.300000;39;44;44
157;49;4;3;0.300000;39;44;44
158;50;4;3;0.300000;39;44;44
159;51;4;2;0.300000;39;44;44
160;52;4;2;0.300000;39;44;44
161;53;4;1;0.300000;39;44;44
162;54;4;2;0.300000;39;44;44
163;55;4;3;0.300000;39;44;44
164;56;4;3;0.300000;39;44;44
165;57;4;2;0.300000;39;44;44
166;58;4;2;0.300000;39;44;44
167;59;4;3;0.300000;39;44;44
168;60;4;3;0.300000;39;44;44
169;61;4;3;0.300000;39;44;44
170;62;4;3;0.300000;39;44;44
171;63;4;3;0.300000;39;44;44
172;64;4;3;0.300000;39;44;44
173;65;4;4;0.300000;39;44;44
174;66;4;6;0.300000;39;44;44
175;67;4;4;0.300000;39;44;44
176;68;4;3;0.300000;39;44;44
177;69;4;1;0.300000;39;44;44
178;70;4;4;0.300000;39;44;44
179;71;4;2;0.300000;39;44;44
180;72;4;3;0.300000;39;44;44
181;73;4;4;0.300000;39;44;44
182;74;4;2;0.300000;39;44;44
183;75;4;3;0.300000;39;44;44
184;76;4;2;0.300000;39;44;44
185;77;4;5;0.300000;39;44;44
186;78;4;5;0.300000;39;44;44
187;79;4;6;0.300000;39;44;44
188;80;4;5;0.300000;39;44;44
189;81;4;6;0.300000;39;44;44
190;82;4;1;0.300000;39;44;44
191;83;4;3;0.300000;39;44;44
192;84;4;5;0.300000;39;44;44
193;85;4;4;0.300000;39;44;44
194;86;4;3;0.300000;39;44;44
195;87;4;3;0.300000;39;44;44
196;88;4;3;0.300000;39;44;44
197;89;4;3;0.300000;39;44;44
198;90;4;0;0.300000;39;44;44
199;91;4;4;0.300000;39;44;44
200;92;4;5;0.300000;39;44;44
201;93;4;4;0.300000;39;44;44
202;94;4;4;0.300000;39;44;44
203;95;4;1;0.300000;39;44;44
204;96;4;1;0.300000;39;44;44
205;97;4;3;0.300000;39;44;44
206;98;4;1;0.300000;39;44;44
207;99;4;4;0.300000;39;44;44
208;100;4;2;0.300000;39;44;44
209;101;4;3;0.300000;39;44;44
210;102;4;4;0.300000;39;44;44
211;103;4;2;0.300000;39;44;44
212;104;4;1;0.300000;39;44;44
213;105;4;3;0.300000;39;44;44
214;106;4;2;0.300000;39;44;44
215;107;4;1;0.300000;39;44;44
216;108;4;3;0.300000;39;44;44
217;109;4;5;0.300000;39;44;44
218;110;4;2;0.300000;39;44;44
219;111;4;2;0.300000;39;44;44
220;112;4;1;0.300000;39;44;44
221;113;4;3;0.300000;39;44;44
222;114;4;3;0.300000;39;44;44
223;115;4;4;0.300000;39;44;44
224;116;4;3;0.300000;39;44;44
225;117;4;4;0.300000;39;44;44
226;118;4;3;0.300000;39;44;44
227;119;4;2;0.300000;39;44;44
228;120;4;1;0.300000;39;44;44
229;121;4;3;0.300000;39;44;44
230;122;4;5;0.300000;39;44;44
231;123;4;2;0.300000;39;44;44
232;124;4;7;0.300000;39;44;44
233;125;4;5;0.300000;39;44;44
234;126;4;3;0.300000;39;44;44
235;127;4;7;0.300000;39;44;44
236;128;4;1;0.300000;39;44;44
237;129;4;3;0.300000;39;44;44
238;130;4;1;0.300000;39;44;44
239;131;4;3;0.300000;39;44;44
240;132;4;2;0.300000;39;44;44
241;133;4;1;0.300000;39;44;44
242;134;4;2;0.300000;39;44;44
243;135;4;4;0.300000;39;44;44
244;136;4;2;0.300000;39;44;44
245;137;4;1;0.300000;39;44;44
246;138;4;5;0.300000;39;44;44
247;139;4;6;0.300000;39;44;44
248;140;4;3;0.300000;39;44;44
249;141;4;1;0.300000;39;44;44
250;142;4;1;0.300000;39;44;44
251;143;4;2;0.300000;39;44;44
252;144;4;1;0.300000;39;44;44
253;145;4;4;0.300000;39;44;44
254;146;4;3;0.300000;39;44;44
255;147;4;4;0.300000;39;44;44
256;148;4;4;0.300000;39;44;44
257;149;4;2;0.300000;39;44;44
258;150;4;5;0.300000;39;44;44
259;151;4;2;0.300000;39;44;44
260;152;4;4;0.300000;39;44;44
261;153;4;4;0.300000;39;44;44
262;154;4;3;0.300000;39;44;44
263;155;4;2;0.300000;39;44;44
264;156;4;3;0.300000;39;44;44
265;157;4;2;0.300000;39;44;44
266;158;4;2;0.300000;39;44;44
267;159;4;1;0.300000;39;44;44
268;160;4;1;0.300000;39;44;44
269;161;4;1;0.300000;39;44;44
270;162;4;2;0.300000;39;44;44
271;163;4;1;0.300000;39;44;44
272;164;4;3;0.300000;39;44;44
273;165;4;5;0.300000;39;44;44
274;166;4;2;0.300000;39;44;44
275;167;4;1;0.300000;39;44;44
276;168;4;3;0.300000;39;44;44
277;169;4;2;0.300000;39;44;44
278;170;4;0;0.300000;39;44;44
279;171;4;1;0.300000;39;44;44
280;172;4;1;0.300000;39;44;44
281;173;4;2;0.300000;39;44;44
282;174;4;4;0.300000;39;44;44
283;175;4;2;0.300000;39;44;44
284;176;4;3;0.300000;39;44;44
285;177;4;3;0.300000;39;44;44
286;178;4;3;0.300000;39;44;44
287;179;4;2;0.300000;39;44;44
288;180;4;5;0.300000;39;44;44
289;181;4;5;0.300000;39;44;44
290;182;4;5;0.300000;39;44;44
291;183;4;5;0.300000;39;44;44
292;184;4;2;0.300000;39;44;44
293;185;4;5;0.300000;39;44;44
294;186;4;5;0.300000;39;44;44
295;187;4;6;0.300000;39;44;44
296;188;4;1;0.300000;39;44;44
297;189;4;5;0.300000;39;44;44
298;190;4;4;0.300000;39;44;44
299;191;4;4;0.300000;39;44;44
300;192;4;2;0.300000;39;44;44
301;193;4;3;0.300000;39;44;44
302;194;4;1;0.300000;39;44;44
303;195;4;0;0.300000;39;44;44
304;196;4;4;0.300000;39;44;44
305;197;4;4;0.300000;39;44;44
306;198;4;3;0.300000;39;44;44
307;199;4;4;0.300000;39;44;44
308;200;4;5;0.300000;39;44;44
309;201;4;4;0.300000;39;44;44
310;202;4;2;0.300000;39;44;44
311;203;4;4;0.300000;39;44;44
312;204;4;5;0.300000;39;44;44
313;205;4;3;0.300000;39;44;44
314;206;4;3;0.300000;39;44;44
315;207;4;5;0.300000;39;44;44
316;208;4;2;0.300000;39;44;44
317;209;4;3;0.300000;39;44;44
318;210;4;3;0.300000;39;44;44
319;211;4;1;0.300000;39;44;44
320;212;4;3;0.300000;39;44;44
321;213;4;1;0.300000;39;44;44
322;214;4;3;0.300000;39;44;44
323;215;4;1;0.300000;39;44;44
324;216;4;3;0.300000;39;44;44
325;217;4;5;0.300000;39;44;44
326;218;4;3;0.300000;39;44;44
327;219;4;5;0.300000;39;44;44
328;220;4;6;0.300000;39;44;44
329;221;4;3;0.300000;39;44;44
330;222;4;1;0.300000;39;44;44
331;223;4;0;0.300000;39;44;44
332;224;4;4;0.300000;39;44;44
333;225;4;0;0.300000;39;44;44
334;226;4;2;0.300000;39;44;44
335;227;4;1;0.300000;39;44;44
336;228;4;3;0.300000;39;44;44
337;229;4;2;0.300000;39;44;44
338;230;4;5;0.300000;39;44;44
339;231;4;1;0.300000;39;44;44
340;232;4;2;0.300000;39;44;44
341;233;4;3;0.300000;39;44;44
342;234;4;3;0.300000;39;44;44
343;235;4;3;0.300000;39;44;44
344;236;4;1;0.300000;39;44;44
345;237;4;3;0.300000;39;44;44
346;238;4;1;0.300000;39;44;44
347;239;4;3;0.300000;39;44;44
348;240;4;4;0.300000;39;44;44
349;241;4;3;0.300000;39;44;44
350;242;4;3;0.300000;39;44;44
351;243;4;2;0.300000;39;44;44
352;244;4;1;0.300000;39;44;44
353;245;4;1;0.300000;39;44;44
354;246;4;2;0.300000;39;44;44
355;247;4;0;0.300000;39;44;44
356;248;4;1;0.300000;39;44;44
357;249;4;1;0.300000;39;44;44
358;250;4;0;0.300000;39;44;44
359;251;4;0;0.300000;39;44;44
360;252;4;5;0.300000;39;44;44
361;253;4;1;0.300000;39;44;44
362;254;4;2;0.300000;39;44;44
363;255;4;3;0.300000;39;44;44
364;256;4;3;0.300000;39;44;44
365;257;4;1;0.300000;39;44;44
366;258;4;3;0.300000;39;44;44
