NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;300;100;65;0.300000;2720;7813;7813
1;300;100;55;0.300000;2720;7750;7750
2;301;100;45;0.300000;2720;7750;7750
3;300;100;45;0.300000;2720;7745;7745
4;301;100;55;0.300000;2720;7745;7745
5;300;100;63;0.300000;2720;7720;7720
6;301;100;41;0.300000;2720;7720;7720
7;300;100;44;0.300000;2720;7673;7673
8;301;100;46;0.300000;2720;7673;7673
9;302;100;44;0.300000;2720;7673;7673
10;300;100;52;0.300000;2720;7672;7672
11;300;100;50;0.300000;2720;7571;7571
12;301;100;57;0.300000;2720;7571;7571
13;300;100;56;0.300000;2720;7558;7558
14;300;100;52;0.300000;2720;7515;7515
15;301;100;49;0.300000;2720;7515;7515
16;302;100;57;0.300000;2720;7515;7515
17;303;100;66;0.300000;2720;7515;7515
18;300;100;54;0.300000;2720;7506;7506
19;300;100;54;0.300000;2720;7434;7434
20;301;100;46;0.300000;2720;7434;7434
21;302;100;49;0.300000;2720;7434;7434
22;303;100;51;0.300000;2720;7434;7434
23;304;100;42;0.300000;2720;7434;7434
24;305;100;53;0.300000;2720;7434;7434
25;300;100;48;0.300000;2720;7426;7426
26;300;100;50;0.300000;2720;7372;7372
27;301;100;53;0.300000;2720;7372;7372
28;302;100;42;0.300000;2720;7372;7372
29;303;100;45;0.300000;2720;7372;7372
30;300;100;51;0.300000;2720;7357;7357
31;300;100;48;0.300000;2720;7329;7329
32;300;100;63;0.300000;2720;7299;7299
33;300;100;53;0.300000;2720;7251;7251
34;301;100;48;0.300000;2720;7251;7251
35;302;100;46;0.300000;2720;7251;7251
36;303;100;40;0.300000;2720;7251;7251
37;300;100;52;0.300000;2720;7206;7206
38;301;100;50;0.300000;2720;7206;7206
39;300;100;45;0.300000;2720;7196;7196
40;301;100;42;0.300000;2720;7196;7196
41;302;100;47;0.300000;2720;7196;7196
42;303;100;43;0.300000;2720;7196;7196
43;304;100;51;0.300000;2720;7196;7196
44;300;100;54;0.300000;2720;7187;7187
45;301;100;60;0.300000;2720;7187;7187
46;300;100;54;0.300000;2720;7172;7172
47;301;100;54;0.300000;2720;7172;7172
48;302;100;46;0.300000;2720;7172;7172
49;300;100;54;0.300000;2720;7147;7147
50;301;100;43;0.300000;2720;7147;7147
51;302;100;52;0.300000;2720;7147;7147
52;300;100;56;0.300000;2720;7115;7115
53;301;100;48;0.300000;2720;7115;7115
54;302;100;48;0.300000;2720;7115;7115
55;303;100;42;0.300000;2720;7115;7115
56;304;100;43;0.300000;2720;7115;7115
57;300;100;49;0.300000;2720;7112;7112
58;300;100;45;0.300000;2720;7111;7111
59;300;100;53;0.300000;2720;7099;7099
60;300;100;48;0.300000;2720;7090;7090
61;300;100;53;0.300000;2720;7056;7056
62;301;100;46;0.300000;2720;7056;7056
63;302;100;43;0.300000;2720;7056;7056
64;303;100;49;0.300000;2720;7056;7056
65;300;100;44;0.300000;2720;7054;7054
66;300;100;53;0.300000;2720;7052;7052
67;300;100;63;0.300000;2720;7028;7028
68;301;100;60;0.300000;2720;7028;7028
69;302;100;58;0.300000;2720;7028;7028
70;303;100;46;0.300000;2720;7028;7028
71;304;100;53;0.300000;2720;7028;7028
72;300;100;45;0.300000;2720;7027;7027
73;300;100;61;0.300000;2720;7005;7005
74;300;100;44;0.300000;2720;6984;6984
75;301;100;62;0.300000;2720;6984;6984
76;302;100;54;0.300000;2720;6984;6984
77;303;100;56;0.300000;2720;6984;6984
78;300;100;49;0.300000;2720;6951;6951
79;301;100;55;0.300000;2720;6951;6951
80;302;100;57;0.300000;2720;6951;6951
81;303;100;47;0.300000;2720;6951;6951
82;304;100;49;0.300000;2720;6951;6951
83;300;100;60;0.300000;2720;6946;6946
84;300;100;61;0.300000;2720;6916;6916
85;301;100;46;0.300000;2720;6916;6916
86;302;100;56;0.300000;2720;6916;6916
87;300;100;46;0.300000;2720;6890;6890
88;301;100;45;0.300000;2720;6890;6890
89;300;100;46;0.300000;2720;6857;6857
90;301;100;45;0.300000;2720;6857;6857
91;302;100;56;0.300000;2720;6857;6857
92;303;100;58;0.300000;2720;6857;6857
93;304;100;59;0.300000;2720;6857;6857
94;300;100;44;0.300000;2720;6853;6853
95;300;100;66;0.300000;2720;6846;6846
96;300;100;52;0.300000;2720;6844;6844
97;300;100;57;0.300000;2720;6839;6839
98;301;100;53;0.300000;2720;6839;6839
99;300;100;58;0.300000;2720;6819;6819
100;300;100;51;0.300000;2720;6794;6794
101;300;100;42;0.300000;2720;6785;6785
102;301;100;49;0.300000;2720;6785;6785
103;300;100;43;0.300000;2720;6780;6780
104;300;100;42;0.300000;2720;6761;6761
105;300;100;56;0.300000;2720;6755;6755
106;300;100;47;0.300000;2720;6742;6742
107;301;100;67;0.300000;2720;6742;6742
108;300;100;57;0.300000;2720;6733;6733
109;300;100;52;0.300000;2720;6729;6729
110;301;100;54;0.300000;2720;6729;6729
