NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;201;60;32;0.300000;2579;31828;31828
1;200;60;28;0.300000;2579;30398;30398
2;201;60;30;0.300000;2579;30398;30398
3;202;60;36;0.300000;2579;30398;30398
4;203;60;28;0.300000;2579;30398;30398
5;204;60;35;0.300000;2579;30398;30398
6;205;60;31;0.300000;2579;30398;30398
7;206;60;25;0.300000;2579;30398;30398
8;207;60;36;0.300000;2579;30398;30398
9;200;60;33;0.300000;2579;30346;30346
10;200;60;37;0.300000;2579;29795;29795
11;201;60;41;0.300000;2579;29795;29795
12;200;60;32;0.300000;2579;29468;29468
13;201;60;35;0.300000;2579;29468;29468
14;200;60;29;0.300000;2579;29464;29464
15;201;60;32;0.300000;2579;29464;29464
16;202;60;37;0.300000;2579;29464;29464
17;200;60;34;0.300000;2579;29458;29458
18;200;60;31;0.300000;2579;29234;29234
19;200;60;27;0.300000;2579;29196;29196
20;201;60;22;0.300000;2579;29196;29196
21;202;60;30;0.300000;2579;29196;29196
22;200;60;33;0.300000;2579;28785;28785
23;200;60;42;0.300000;2579;28751;28751
24;200;60;31;0.300000;2579;28657;28657
25;201;60;27;0.300000;2579;28657;28657
26;202;60;30;0.300000;2579;28657;28657
27;203;60;31;0.300000;2579;28657;28657
28;200;60;33;0.300000;2579;28538;28538
29;201;60;45;0.300000;2579;28538;28538
30;200;60;30;0.300000;2579;28522;28522
31;200;60;32;0.300000;2579;28115;28115
32;201;60;23;0.300000;2579;28115;28115
33;200;60;34;0.300000;2579;28095;28095
34;201;60;28;0.300000;2579;28095;28095
35;202;60;29;0.300000;2579;28095;28095
36;200;60;30;0.300000;2579;27981;27981
37;201;60;28;0.300000;2579;27981;27981
38;200;60;24;0.300000;2579;27606;27606
39;201;60;25;0.300000;2579;27606;27606
40;200;60;18;0.300000;2579;27348;27348
41;200;60;29;0.300000;2579;27324;27324
42;201;60;26;0.300000;2579;27324;27324
43;202;60;26;0.300000;2579;27324;27324
44;200;60;29;0.300000;2579;27185;27185
45;200;60;18;0.300000;2579;27062;27062
46;201;60;28;0.300000;2579;27062;27062
47;200;60;30;0.300000;2579;26817;26817
48;201;60;28;0.300000;2579;26817;26817
49;200;60;34;0.300000;2579;26815;26815
50;201;60;27;0.300000;2579;26815;26815
51;202;60;30;0.300000;2579;26815;26815
52;200;60;36;0.300000;2579;26580;26580
53;200;60;27;0.300000;2579;26569;26569
54;200;60;31;0.300000;2579;26360;26360
55;200;60;34;0.300000;2579;26320;26320
56;201;60;34;0.300000;2579;26320;26320
57;200;60;25;0.300000;2579;26188;26188
58;201;60;34;0.300000;2579;26188;26188
59;202;60;45;0.300000;2579;26188;26188
60;200;60;39;0.300000;2579;26080;26080
61;200;60;34;0.300000;2579;25972;25972
62;201;60;27;0.300000;2579;25972;25972
63;202;60;42;0.300000;2579;25972;25972
64;200;60;35;0.300000;2579;25793;25793
65;201;60;26;0.300000;2579;25793;25793
66;202;60;28;0.300000;2579;25793;25793
67;203;60;36;0.300000;2579;25793;25793
68;200;60;32;0.300000;2579;25584;25584
69;201;60;31;0.300000;2579;25584;25584
70;202;60;32;0.300000;2579;25584;25584
71;203;60;32;0.300000;2579;25584;25584
72;200;60;37;0.300000;2579;25498;25498
73;201;60;32;0.300000;2579;25498;25498
74;200;60;34;0.300000;2579;25469;25469
75;200;60;38;0.300000;2579;25440;25440
76;200;60;36;0.300000;2579;25329;25329
77;201;60;38;0.300000;2579;25329;25329
78;202;60;29;0.300000;2579;25329;25329
79;200;60;34;0.300000;2579;25250;25250
80;201;60;23;0.300000;2579;25250;25250
81;200;60;25;0.300000;2579;25145;25145
82;201;60;18;0.300000;2579;25145;25145
83;200;60;30;0.300000;2579;25087;25087
84;200;60;33;0.300000;2579;24767;24767
85;201;60;26;0.300000;2579;24767;24767
86;200;60;31;0.300000;2579;24763;24763
87;201;60;37;0.300000;2579;24763;24763
88;202;60;31;0.300000;2579;24763;24763
89;203;60;26;0.300000;2579;24763;24763
90;204;60;30;0.300000;2579;24763;24763
91;200;60;40;0.300000;2579;24757;24757
92;201;60;40;0.300000;2579;24757;24757
93;200;60;38;0.300000;2579;24741;24741
94;200;60;33;0.300000;2579;24650;24650
95;200;60;32;0.300000;2579;24548;24548
96;201;60;31;0.300000;2579;24548;24548
97;202;60;31;0.300000;2579;24548;24548
98;203;60;36;0.300000;2579;24548;24548
99;204;60;41;0.300000;2579;24548;24548
100;200;60;32;0.300000;2579;24299;24299
101;201;60;37;0.300000;2579;24299;24299
102;202;60;33;0.300000;2579;24299;24299
103;203;60;30;0.300000;2579;24299;24299
104;204;60;28;0.300000;2579;24299;24299
105;200;60;40;0.300000;2579;24210;24210
106;201;60;37;0.300000;2579;24210;24210
107;202;60;32;0.300000;2579;24210;24210
108;203;60;29;0.300000;2579;24210;24210
109;204;60;27;0.300000;2579;24210;24210
110;205;60;30;0.300000;2579;24210;24210
111;206;60;24;0.300000;2579;24210;24210
112;207;60;21;0.300000;2579;24210;24210
113;208;60;30;0.300000;2579;24210;24210
114;200;60;38;0.300000;2579;24067;24067
