NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;51;16;7;0.300000;538;2254;2254
1;52;16;3;0.300000;538;2254;2254
2;50;16;7;0.300000;538;2087;2087
3;51;16;9;0.300000;538;2087;2087
4;52;16;12;0.300000;538;2087;2087
5;50;16;8;0.300000;538;2086;2086
6;51;16;12;0.300000;538;2086;2086
7;52;16;6;0.300000;538;2086;2086
8;53;16;6;0.300000;538;2086;2086
9;54;16;8;0.300000;538;2086;2086
10;50;16;12;0.300000;538;2081;2081
11;50;16;10;0.300000;538;2074;2074
12;51;16;6;0.300000;538;2074;2074
13;52;16;10;0.300000;538;2074;2074
14;50;16;9;0.300000;538;2058;2058
15;51;16;6;0.300000;538;2058;2058
16;50;16;9;0.300000;538;1998;1998
17;51;16;11;0.300000;538;1998;1998
18;50;16;9;0.300000;538;1996;1996
19;50;16;11;0.300000;538;1986;1986
20;51;16;13;0.300000;538;1986;1986
21;52;16;10;0.300000;538;1986;1986
22;53;16;5;0.300000;538;1986;1986
23;50;16;4;0.300000;538;1978;1978
24;51;16;3;0.300000;538;1978;1978
25;52;16;8;0.300000;538;1978;1978
26;50;16;11;0.300000;538;1940;1940
27;51;16;7;0.300000;538;1940;1940
28;50;16;12;0.300000;538;1936;1936
29;50;16;4;0.300000;538;1928;1928
30;51;16;5;0.300000;538;1928;1928
31;50;16;12;0.300000;538;1925;1925
32;51;16;8;0.300000;538;1925;1925
33;50;16;12;0.300000;538;1918;1918
34;50;16;9;0.300000;538;1888;1888
35;51;16;4;0.300000;538;1888;1888
36;50;16;6;0.300000;538;1851;1851
37;51;16;7;0.300000;538;1851;1851
38;52;16;6;0.300000;538;1851;1851
39;50;16;10;0.300000;538;1780;1780
40;51;16;9;0.300000;538;1780;1780
41;52;16;7;0.300000;538;1780;1780
42;53;16;7;0.300000;538;1780;1780
43;50;16;4;0.300000;538;1779;1779
44;50;16;10;0.300000;538;1765;1765
45;51;16;9;0.300000;538;1765;1765
46;52;16;8;0.300000;538;1765;1765
