Nazwa Instancji;Numer Pomiaru;Czas Pomiaru;Koszt Uzyskany;Koszt Oczekiwany
Pliki Do testów/ATSP/br17.txt;0;370.077900;39;39
Pliki Do testów/ATSP/br17.txt;1;269.979200;39;39
Pliki Do testów/ATSP/br17.txt;2;463.311300;39;39
Pliki Do testów/ATSP/br17.txt;3;178.397300;39;39
Pliki Do testów/ATSP/br17.txt;4;260.430100;39;39
Pliki Do testów/ATSP/br17.txt;5;346.639900;39;39
Pliki Do testów/ATSP/br17.txt;6;11977.510500;39;39
Pliki Do testów/ATSP/br17.txt;7;2930.875600;39;39
Pliki Do testów/ATSP/br17.txt;8;36800.643600;39;39
Pliki Do testów/ATSP/br17.txt;9;1634.914900;39;39
Pliki Do testów/ATSP/ftv44.txt;0;113905.864100;2313;1613
Pliki Do testów/ATSP/ftv44.txt;1;157892.972800;2185;1613
Pliki Do testów/ATSP/ftv44.txt;2;47507.993000;2568;1613
Pliki Do testów/ATSP/ftv44.txt;3;45128.692700;2452;1613
Pliki Do testów/ATSP/ftv44.txt;4;74187.887200;2178;1613
Pliki Do testów/ATSP/ftv44.txt;5;41961.479100;2367;1613
Pliki Do testów/ATSP/ftv44.txt;6;113147.611400;1981;1613
Pliki Do testów/ATSP/ftv44.txt;7;44098.410100;2536;1613
Pliki Do testów/ATSP/ftv44.txt;8;81970.209100;2132;1613
Pliki Do testów/ATSP/ftv44.txt;9;85705.363000;2316;1613
Pliki Do testów/ATSP/ftv70.txt;0;163040.886500;3629;1950
Pliki Do testów/ATSP/ftv70.txt;1;284646.638300;3158;1950
Pliki Do testów/ATSP/ftv70.txt;2;135401.651000;3006;1950
Pliki Do testów/ATSP/ftv70.txt;3;114792.050600;3016;1950
Pliki Do testów/ATSP/ftv70.txt;4;216285.151300;2933;1950
Pliki Do testów/ATSP/ftv70.txt;5;110981.021900;3254;1950
Pliki Do testów/ATSP/ftv70.txt;6;212460.018400;2934;1950
Pliki Do testów/ATSP/ftv70.txt;7;91222.620700;3306;1950
Pliki Do testów/ATSP/ftv70.txt;8;129315.856400;2948;1950
Pliki Do testów/ATSP/ftv70.txt;9;121054.558300;3160;1950
