Nazwa Instancji;Numer Pomiaru;Czas Pomiaru;Koszt Uzyskany;Koszt Oczekiwany
Pliki Do testów/ATSP/br17.txt;0;63942.942600;9272;7542
Pliki Do testów/ATSP/br17.txt;1;66961.575400;9991;7542
Pliki Do testów/ATSP/br17.txt;2;53299.993300;10256;7542
Pliki Do testów/ATSP/br17.txt;3;138435.623100;9299;7542
Pliki Do testów/ATSP/br17.txt;4;61139.333700;10906;7542
Pliki Do testów/ATSP/br17.txt;5;60930.878100;10740;7542
Pliki Do testów/ATSP/br17.txt;6;127952.195900;9836;7542
Pliki Do testów/ATSP/br17.txt;7;62351.911600;9974;7542
Pliki Do testów/ATSP/br17.txt;8;69253.091700;8726;7542
Pliki Do testów/ATSP/br17.txt;9;94178.601000;10048;7542
Pliki Do testów/ATSP/ftv44.txt;0;340771.062300;680;538
Pliki Do testów/ATSP/ftv44.txt;1;107999.995100;798;538
Pliki Do testów/ATSP/ftv44.txt;2;142518.441900;831;538
Pliki Do testów/ATSP/ftv44.txt;3;150193.500700;712;538
Pliki Do testów/ATSP/ftv44.txt;4;134049.419400;719;538
Pliki Do testów/ATSP/ftv44.txt;5;130957.138800;705;538
Pliki Do testów/ATSP/ftv44.txt;6;213043.125000;709;538
Pliki Do testów/ATSP/ftv44.txt;7;154709.586800;810;538
Pliki Do testów/ATSP/ftv44.txt;8;178367.496200;730;538
Pliki Do testów/ATSP/ftv44.txt;9;236694.409400;793;538
Pliki Do testów/ATSP/ftv70.txt;0;280363.062200;37746;21282
Pliki Do testów/ATSP/ftv70.txt;1;270312.668600;42208;21282
Pliki Do testów/ATSP/ftv70.txt;2;391354.461900;34887;21282
Pliki Do testów/ATSP/ftv70.txt;3;238464.424000;41987;21282
Pliki Do testów/ATSP/ftv70.txt;4;434967.070200;47122;21282
Pliki Do testów/ATSP/ftv70.txt;5;183173.850500;42868;21282
Pliki Do testów/ATSP/ftv70.txt;6;294571.002800;31497;21282
Pliki Do testów/ATSP/ftv70.txt;7;366144.708000;40964;21282
Pliki Do testów/ATSP/ftv70.txt;8;213604.472700;41601;21282
Pliki Do testów/ATSP/ftv70.txt;9;338957.519000;39054;21282
