NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;36;13;6;0.303000;7542;27088;27088
1;35;12;5;0.300000;7542;25712;25712
2;36;13;6;0.303000;7542;25712;25712
3;37;14;7;0.306000;7542;25712;25712
4;35;12;6;0.300000;7542;25295;25295
5;36;13;10;0.303000;7542;25295;25295
6;37;14;7;0.306000;7542;25295;25295
7;38;15;5;0.309000;7542;25295;25295
8;35;12;10;0.300000;7542;25149;25149
9;36;13;5;0.303000;7542;25149;25149
10;37;14;5;0.306000;7542;25149;25149
11;38;15;5;0.309000;7542;25149;25149
12;35;12;8;0.300000;7542;24298;24298
13;36;13;9;0.303000;7542;24298;24298
14;35;12;3;0.300000;7542;23472;23472
15;36;13;6;0.303000;7542;23472;23472
16;37;14;3;0.306000;7542;23472;23472
17;38;15;5;0.309000;7542;23472;23472
18;39;16;8;0.312000;7542;23472;23472
19;40;17;9;0.315000;7542;23472;23472
20;41;18;11;0.318000;7542;23472;23472
21;42;19;11;0.321000;7542;23472;23472
22;43;20;10;0.324000;7542;23472;23472
23;44;21;11;0.327000;7542;23472;23472
24;45;22;7;0.330000;7542;23472;23472
25;46;23;12;0.333000;7542;23472;23472
26;35;12;19;0.300000;7542;23380;23380
27;35;12;13;0.300000;7542;22991;22991
28;36;13;8;0.303000;7542;22991;22991
29;37;14;3;0.306000;7542;22991;22991
30;35;12;8;0.300000;7542;22959;22959
31;36;13;5;0.303000;7542;22959;22959
32;35;12;4;0.300000;7542;22660;22660
33;36;13;8;0.303000;7542;22660;22660
34;37;14;9;0.306000;7542;22660;22660
35;35;12;14;0.300000;7542;22611;22611
36;36;13;4;0.303000;7542;22611;22611
37;37;14;3;0.306000;7542;22611;22611
38;38;15;5;0.309000;7542;22611;22611
39;39;16;6;0.312000;7542;22611;22611
40;35;12;9;0.300000;7542;22511;22511
41;36;13;8;0.303000;7542;22511;22511
42;37;14;8;0.306000;7542;22511;22511
43;38;15;8;0.309000;7542;22511;22511
44;39;16;2;0.312000;7542;22511;22511
45;40;17;5;0.315000;7542;22511;22511
46;41;18;11;0.318000;7542;22511;22511
47;42;19;10;0.321000;7542;22511;22511
48;43;20;13;0.324000;7542;22511;22511
49;44;21;14;0.327000;7542;22511;22511
50;45;22;14;0.330000;7542;22511;22511
51;46;23;11;0.333000;7542;22511;22511
52;47;24;17;0.336000;7542;22511;22511
