NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;12;4;2;0.300000;39;120;120
1;13;5;1;0.303000;39;120;120
2;14;6;1;0.306000;39;120;120
3;15;7;1;0.309000;39;120;120
4;16;8;2;0.312000;39;120;120
5;17;9;1;0.315000;39;120;120
6;18;10;2;0.318000;39;120;120
7;19;11;3;0.321000;39;120;120
8;12;4;6;0.300000;39;110;110
9;13;5;5;0.303000;39;110;110
10;14;6;1;0.306000;39;110;110
11;12;4;1;0.300000;39;105;105
12;13;5;4;0.303000;39;105;105
13;14;6;6;0.306000;39;105;105
14;15;7;1;0.309000;39;105;105
15;16;8;2;0.312000;39;105;105
16;17;9;1;0.315000;39;105;105
17;18;10;4;0.318000;39;105;105
18;19;11;1;0.321000;39;105;105
19;20;12;7;0.324000;39;105;105
20;12;4;11;0.300000;39;92;92
21;13;5;6;0.303000;39;92;92
22;14;6;2;0.306000;39;92;92
23;15;7;4;0.309000;39;92;92
24;16;8;3;0.312000;39;92;92
25;12;4;7;0.300000;39;89;89
26;13;5;1;0.303000;39;89;89
27;14;6;1;0.306000;39;89;89
28;15;7;2;0.309000;39;89;89
29;16;8;1;0.312000;39;89;89
30;17;9;5;0.315000;39;89;89
31;18;10;3;0.318000;39;89;89
32;19;11;2;0.321000;39;89;89
33;20;12;3;0.324000;39;89;89
34;21;13;6;0.327000;39;89;89
35;22;14;5;0.330000;39;89;89
36;23;15;5;0.333000;39;89;89
37;24;16;10;0.336000;39;89;89
38;25;17;12;0.339000;39;89;89
39;26;18;12;0.342000;39;89;89
40;27;19;15;0.345000;39;89;89
41;28;20;11;0.348000;39;89;89
42;29;21;13;0.351000;39;89;89
43;12;4;17;0.300000;39;84;84
44;13;5;12;0.303000;39;84;84
45;14;6;3;0.306000;39;84;84
46;12;4;3;0.300000;39;73;73
47;13;5;1;0.303000;39;73;73
48;14;6;2;0.306000;39;73;73
49;15;7;5;0.309000;39;73;73
50;16;8;3;0.312000;39;73;73
51;17;9;4;0.315000;39;73;73
52;18;10;2;0.318000;39;73;73
53;19;11;3;0.321000;39;73;73
54;20;12;5;0.324000;39;73;73
55;21;13;5;0.327000;39;73;73
56;22;14;6;0.330000;39;73;73
57;23;15;11;0.333000;39;73;73
58;24;16;10;0.336000;39;73;73
59;25;17;12;0.339000;39;73;73
60;26;18;9;0.342000;39;73;73
61;27;19;11;0.345000;39;73;73
62;28;20;16;0.348000;39;73;73
63;29;21;13;0.351000;39;73;73
64;30;22;15;0.354000;39;73;73
65;31;23;21;0.357000;39;73;73
66;32;24;21;0.360000;39;73;73
67;33;25;17;0.363000;39;73;73
68;34;26;20;0.366000;39;73;73
69;35;27;19;0.369000;39;73;73
70;36;28;18;0.372000;39;73;73
71;37;29;22;0.375000;39;73;73
72;38;30;27;0.378000;39;73;73
73;39;31;26;0.381000;39;73;73
74;40;32;26;0.384000;39;73;73
75;41;33;32;0.387000;39;73;73
76;12;4;38;0.300000;39;65;65
77;13;5;17;0.303000;39;65;65
78;14;6;2;0.306000;39;65;65
79;15;7;5;0.309000;39;65;65
80;16;8;3;0.312000;39;65;65
81;17;9;4;0.315000;39;65;65
82;18;10;3;0.318000;39;65;65
83;19;11;5;0.321000;39;65;65
84;20;12;5;0.324000;39;65;65
85;12;4;8;0.300000;39;55;55
86;13;5;8;0.303000;39;55;55
87;14;6;3;0.306000;39;55;55
88;15;7;3;0.309000;39;55;55
89;16;8;3;0.312000;39;55;55
90;17;9;4;0.315000;39;55;55
91;18;10;6;0.318000;39;55;55
92;19;11;3;0.321000;39;55;55
93;20;12;5;0.324000;39;55;55
94;21;13;3;0.327000;39;55;55
95;22;14;5;0.330000;39;55;55
96;23;15;6;0.333000;39;55;55
97;24;16;12;0.336000;39;55;55
98;25;17;9;0.339000;39;55;55
99;26;18;7;0.342000;39;55;55
100;27;19;14;0.345000;39;55;55
101;28;20;10;0.348000;39;55;55
102;29;21;10;0.351000;39;55;55
103;30;22;17;0.354000;39;55;55
104;31;23;13;0.357000;39;55;55
105;32;24;14;0.360000;39;55;55
106;33;25;16;0.363000;39;55;55
107;34;26;17;0.366000;39;55;55
108;35;27;23;0.369000;39;55;55
109;36;28;28;0.372000;39;55;55
110;12;4;18;0.300000;39;49;49
111;13;5;17;0.303000;39;49;49
112;14;6;6;0.306000;39;49;49
113;15;7;6;0.309000;39;49;49
114;16;8;5;0.312000;39;49;49
115;17;9;2;0.315000;39;49;49
116;18;10;5;0.318000;39;49;49
117;19;11;7;0.321000;39;49;49
118;20;12;6;0.324000;39;49;49
119;21;13;2;0.327000;39;49;49
120;22;14;3;0.330000;39;49;49
121;23;15;8;0.333000;39;49;49
122;24;16;11;0.336000;39;49;49
123;25;17;12;0.339000;39;49;49
124;26;18;13;0.342000;39;49;49
125;27;19;9;0.345000;39;49;49
126;28;20;7;0.348000;39;49;49
127;29;21;19;0.351000;39;49;49
128;30;22;15;0.354000;39;49;49
129;31;23;16;0.357000;39;49;49
130;32;24;11;0.360000;39;49;49
131;33;25;14;0.363000;39;49;49
132;34;26;19;0.366000;39;49;49
133;35;27;15;0.369000;39;49;49
134;36;28;15;0.372000;39;49;49
135;37;29;20;0.375000;39;49;49
136;38;30;25;0.378000;39;49;49
137;39;31;24;0.381000;39;49;49
138;40;32;26;0.384000;39;49;49
139;41;33;32;0.387000;39;49;49
140;42;34;31;0.390000;39;49;49
141;43;35;30;0.393000;39;49;49
142;44;36;36;0.396000;39;49;49
143;45;37;34;0.399000;39;49;49
144;46;38;32;0.402000;39;49;49
145;47;39;31;0.405000;39;49;49
146;48;40;31;0.408000;39;49;49
147;49;41;43;0.411000;39;49;49
148;50;42;44;0.414000;39;49;49
149;51;43;43;0.417000;39;49;49
150;52;44;45;0.420000;39;49;49
151;53;45;57;0.423000;39;49;49
152;54;46;62;0.426000;39;49;49
153;55;47;53;0.429000;39;49;49
154;56;48;48;0.432000;39;49;49
155;57;49;61;0.435000;39;49;49
156;58;50;62;0.438000;39;49;49
157;59;51;66;0.441000;39;49;49
158;60;52;72;0.444000;39;49;49
159;61;53;78;0.447000;39;49;49
160;62;54;74;0.450000;39;49;49
161;63;55;91;0.453000;39;49;49
162;64;56;94;0.456000;39;49;49
163;12;4;98;0.300000;39;44;44
164;13;5;35;0.303000;39;44;44
165;14;6;6;0.306000;39;44;44
166;15;7;4;0.309000;39;44;44
167;16;8;3;0.312000;39;44;44
168;17;9;5;0.315000;39;44;44
169;18;10;6;0.318000;39;44;44
170;19;11;4;0.321000;39;44;44
171;20;12;5;0.324000;39;44;44
172;21;13;7;0.327000;39;44;44
173;22;14;7;0.330000;39;44;44
174;23;15;11;0.333000;39;44;44
175;24;16;14;0.336000;39;44;44
176;25;17;12;0.339000;39;44;44
177;26;18;16;0.342000;39;44;44
178;27;19;13;0.345000;39;44;44
179;28;20;12;0.348000;39;44;44
180;29;21;13;0.351000;39;44;44
181;30;22;18;0.354000;39;44;44
182;31;23;10;0.357000;39;44;44
183;32;24;16;0.360000;39;44;44
184;33;25;13;0.363000;39;44;44
185;34;26;17;0.366000;39;44;44
186;35;27;21;0.369000;39;44;44
187;36;28;20;0.372000;39;44;44
