NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;12;4;3;0.300000;39;179;179
1;12;4;2;0.300000;39;147;147
2;13;4;0;0.300000;39;147;147
3;12;4;0;0.300000;39;104;104
4;12;4;3;0.300000;39;94;94
5;13;4;2;0.300000;39;94;94
6;14;4;2;0.300000;39;94;94
7;15;4;1;0.300000;39;94;94
8;16;4;3;0.300000;39;94;94
9;12;4;2;0.300000;39;89;89
10;13;4;2;0.300000;39;89;89
11;14;4;2;0.300000;39;89;89
12;15;4;1;0.300000;39;89;89
13;12;4;0;0.300000;39;78;78
14;12;4;5;0.300000;39;72;72
15;13;4;2;0.300000;39;72;72
16;12;4;0;0.300000;39;67;67
17;13;4;1;0.300000;39;67;67
18;12;4;4;0.300000;39;62;62
19;13;4;2;0.300000;39;62;62
20;14;4;3;0.300000;39;62;62
21;15;4;1;0.300000;39;62;62
22;16;4;3;0.300000;39;62;62
23;12;4;3;0.300000;39;49;49
24;13;4;3;0.300000;39;49;49
25;14;4;5;0.300000;39;49;49
26;15;4;0;0.300000;39;49;49
27;16;4;1;0.300000;39;49;49
28;17;4;2;0.300000;39;49;49
29;18;4;1;0.300000;39;49;49
30;19;4;3;0.300000;39;49;49
31;20;4;1;0.300000;39;49;49
32;21;4;2;0.300000;39;49;49
33;22;4;1;0.300000;39;49;49
34;23;4;1;0.300000;39;49;49
35;24;4;4;0.300000;39;49;49
36;25;4;4;0.300000;39;49;49
37;26;4;3;0.300000;39;49;49
38;27;4;1;0.300000;39;49;49
39;28;4;4;0.300000;39;49;49
40;29;4;3;0.300000;39;49;49
41;30;4;1;0.300000;39;49;49
42;31;4;1;0.300000;39;49;49
43;32;4;0;0.300000;39;49;49
44;33;4;1;0.300000;39;49;49
45;34;4;1;0.300000;39;49;49
46;35;4;4;0.300000;39;49;49
47;36;4;4;0.300000;39;49;49
48;37;4;5;0.300000;39;49;49
49;38;4;3;0.300000;39;49;49
50;39;4;3;0.300000;39;49;49
51;40;4;1;0.300000;39;49;49
52;41;4;1;0.300000;39;49;49
53;42;4;4;0.300000;39;49;49
54;43;4;5;0.300000;39;49;49
55;44;4;2;0.300000;39;49;49
56;45;4;2;0.300000;39;49;49
57;46;4;1;0.300000;39;49;49
58;47;4;2;0.300000;39;49;49
59;48;4;4;0.300000;39;49;49
60;49;4;4;0.300000;39;49;49
61;50;4;5;0.300000;39;49;49
62;51;4;3;0.300000;39;49;49
63;52;4;3;0.300000;39;49;49
64;53;4;2;0.300000;39;49;49
65;54;4;3;0.300000;39;49;49
66;55;4;3;0.300000;39;49;49
67;56;4;4;0.300000;39;49;49
68;57;4;5;0.300000;39;49;49
69;58;4;2;0.300000;39;49;49
70;59;4;4;0.300000;39;49;49
71;60;4;2;0.300000;39;49;49
72;61;4;2;0.300000;39;49;49
73;62;4;3;0.300000;39;49;49
74;63;4;4;0.300000;39;49;49
75;64;4;4;0.300000;39;49;49
76;12;4;3;0.300000;39;48;48
77;13;4;4;0.300000;39;48;48
78;14;4;2;0.300000;39;48;48
79;15;4;2;0.300000;39;48;48
80;12;4;2;0.300000;39;47;47
81;13;4;2;0.300000;39;47;47
82;14;4;2;0.300000;39;47;47
83;15;4;3;0.300000;39;47;47
84;16;4;1;0.300000;39;47;47
85;17;4;3;0.300000;39;47;47
86;18;4;3;0.300000;39;47;47
87;19;4;1;0.300000;39;47;47
88;20;4;2;0.300000;39;47;47
89;21;4;2;0.300000;39;47;47
90;22;4;1;0.300000;39;47;47
91;23;4;3;0.300000;39;47;47
92;24;4;1;0.300000;39;47;47
93;25;4;1;0.300000;39;47;47
94;26;4;2;0.300000;39;47;47
95;27;4;3;0.300000;39;47;47
96;28;4;1;0.300000;39;47;47
97;29;4;0;0.300000;39;47;47
98;30;4;2;0.300000;39;47;47
99;31;4;3;0.300000;39;47;47
100;32;4;4;0.300000;39;47;47
101;33;4;0;0.300000;39;47;47
