NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;301;100;60;0.300000;2720;7736;7736
1;302;100;53;0.300000;2720;7736;7736
2;303;100;57;0.300000;2720;7736;7736
3;304;100;53;0.300000;2720;7736;7736
4;300;100;47;0.300000;2720;7670;7670
5;301;100;44;0.300000;2720;7670;7670
6;302;100;48;0.300000;2720;7670;7670
7;303;100;51;0.300000;2720;7670;7670
8;300;100;56;0.300000;2720;7661;7661
9;300;100;53;0.300000;2720;7582;7582
10;301;100;47;0.300000;2720;7582;7582
11;302;100;37;0.300000;2720;7582;7582
12;303;100;51;0.300000;2720;7582;7582
13;304;100;47;0.300000;2720;7582;7582
14;305;100;59;0.300000;2720;7582;7582
15;306;100;49;0.300000;2720;7582;7582
16;307;100;52;0.300000;2720;7582;7582
17;300;100;57;0.300000;2720;7569;7569
18;301;100;42;0.300000;2720;7569;7569
19;302;100;52;0.300000;2720;7569;7569
20;300;100;63;0.300000;2720;7566;7566
21;300;100;50;0.300000;2720;7557;7557
22;301;100;49;0.300000;2720;7557;7557
23;300;100;47;0.300000;2720;7546;7546
24;301;100;51;0.300000;2720;7546;7546
25;300;100;56;0.300000;2720;7545;7545
26;301;100;59;0.300000;2720;7545;7545
27;300;100;54;0.300000;2720;7484;7484
28;301;100;62;0.300000;2720;7484;7484
29;302;100;55;0.300000;2720;7484;7484
30;300;100;64;0.300000;2720;7469;7469
31;301;100;46;0.300000;2720;7469;7469
32;300;100;53;0.300000;2720;7452;7452
33;301;100;44;0.300000;2720;7452;7452
34;302;100;60;0.300000;2720;7452;7452
35;300;100;54;0.300000;2720;7438;7438
36;300;100;63;0.300000;2720;7399;7399
37;301;100;62;0.300000;2720;7399;7399
38;302;100;62;0.300000;2720;7399;7399
39;303;100;42;0.300000;2720;7399;7399
40;304;100;47;0.300000;2720;7399;7399
41;300;100;50;0.300000;2720;7369;7369
42;300;100;47;0.300000;2720;7365;7365
43;300;100;50;0.300000;2720;7330;7330
44;301;100;46;0.300000;2720;7330;7330
45;302;100;40;0.300000;2720;7330;7330
46;300;100;48;0.300000;2720;7276;7276
47;301;100;55;0.300000;2720;7276;7276
48;300;100;47;0.300000;2720;7264;7264
49;301;100;56;0.300000;2720;7264;7264
50;302;100;55;0.300000;2720;7264;7264
51;300;100;43;0.300000;2720;7246;7246
52;300;100;52;0.300000;2720;7233;7233
