NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;200;60;35;0.300000;2579;31600;31600
1;201;60;32;0.300000;2579;31600;31600
2;202;60;33;0.300000;2579;31600;31600
3;203;60;42;0.300000;2579;31600;31600
4;200;60;32;0.300000;2579;31354;31354
5;200;60;33;0.300000;2579;30873;30873
6;201;60;28;0.300000;2579;30873;30873
7;200;60;39;0.300000;2579;30659;30659
8;200;60;41;0.300000;2579;30426;30426
9;201;60;30;0.300000;2579;30426;30426
10;202;60;31;0.300000;2579;30426;30426
11;200;60;29;0.300000;2579;29931;29931
12;201;60;33;0.300000;2579;29931;29931
13;200;60;38;0.300000;2579;29819;29819
14;201;60;36;0.300000;2579;29819;29819
15;200;60;36;0.300000;2579;29455;29455
16;201;60;33;0.300000;2579;29455;29455
17;202;60;22;0.300000;2579;29455;29455
18;203;60;27;0.300000;2579;29455;29455
19;204;60;35;0.300000;2579;29455;29455
20;205;60;23;0.300000;2579;29455;29455
21;206;60;38;0.300000;2579;29455;29455
22;207;60;36;0.300000;2579;29455;29455
23;200;60;27;0.300000;2579;29287;29287
24;201;60;30;0.300000;2579;29287;29287
25;200;60;28;0.300000;2579;29017;29017
26;200;60;37;0.300000;2579;28844;28844
27;201;60;30;0.300000;2579;28844;28844
28;202;60;45;0.300000;2579;28844;28844
29;200;60;25;0.300000;2579;28812;28812
30;200;60;24;0.300000;2579;28662;28662
31;200;60;22;0.300000;2579;28459;28459
32;201;60;23;0.300000;2579;28459;28459
33;202;60;31;0.300000;2579;28459;28459
34;203;60;30;0.300000;2579;28459;28459
35;200;60;23;0.300000;2579;28410;28410
36;200;60;39;0.300000;2579;27758;27758
37;201;60;41;0.300000;2579;27758;27758
38;202;60;29;0.300000;2579;27758;27758
39;203;60;34;0.300000;2579;27758;27758
40;200;60;41;0.300000;2579;27728;27728
41;201;60;30;0.300000;2579;27728;27728
42;200;60;30;0.300000;2579;27607;27607
43;200;60;34;0.300000;2579;27592;27592
44;201;60;33;0.300000;2579;27592;27592
45;202;60;39;0.300000;2579;27592;27592
46;200;60;33;0.300000;2579;27542;27542
47;200;60;21;0.300000;2579;27379;27379
48;200;60;23;0.300000;2579;27232;27232
49;201;60;36;0.300000;2579;27232;27232
50;200;60;26;0.300000;2579;27210;27210
51;201;60;40;0.300000;2579;27210;27210
52;200;60;37;0.300000;2579;26876;26876
53;200;60;35;0.300000;2579;26769;26769
54;201;60;29;0.300000;2579;26769;26769
55;200;60;31;0.300000;2579;26692;26692
56;200;60;30;0.300000;2579;26651;26651
57;201;60;43;0.300000;2579;26651;26651
58;200;60;31;0.300000;2579;26632;26632
59;201;60;28;0.300000;2579;26632;26632
60;202;60;31;0.300000;2579;26632;26632
61;200;60;34;0.300000;2579;26437;26437
62;201;60;31;0.300000;2579;26437;26437
63;200;60;22;0.300000;2579;26388;26388
64;200;60;29;0.300000;2579;26159;26159
65;201;60;23;0.300000;2579;26159;26159
66;200;60;33;0.300000;2579;25988;25988
67;200;60;31;0.300000;2579;25889;25889
68;201;60;26;0.300000;2579;25889;25889
69;202;60;33;0.300000;2579;25889;25889
70;203;60;27;0.300000;2579;25889;25889
71;200;60;37;0.300000;2579;25853;25853
72;201;60;30;0.300000;2579;25853;25853
73;200;60;29;0.300000;2579;25837;25837
74;201;60;22;0.300000;2579;25837;25837
75;202;60;29;0.300000;2579;25837;25837
76;203;60;23;0.300000;2579;25837;25837
77;200;60;27;0.300000;2579;25741;25741
78;201;60;32;0.300000;2579;25741;25741
79;200;60;43;0.300000;2579;25637;25637
80;201;60;32;0.300000;2579;25637;25637
81;200;60;23;0.300000;2579;25436;25436
82;201;60;28;0.300000;2579;25436;25436
83;202;60;34;0.300000;2579;25436;25436
84;200;60;33;0.300000;2579;25393;25393
85;200;60;28;0.300000;2579;25325;25325
86;201;60;24;0.300000;2579;25325;25325
87;200;60;36;0.300000;2579;25314;25314
88;201;60;30;0.300000;2579;25314;25314
89;200;60;33;0.300000;2579;25248;25248
90;200;60;29;0.300000;2579;25114;25114
91;201;60;27;0.300000;2579;25114;25114
92;200;60;26;0.300000;2579;25107;25107
93;200;60;35;0.300000;2579;25014;25014
94;200;60;32;0.300000;2579;25003;25003
95;201;60;26;0.300000;2579;25003;25003
96;200;60;36;0.300000;2579;24915;24915
97;201;60;38;0.300000;2579;24915;24915
98;202;60;42;0.300000;2579;24915;24915
99;200;60;28;0.300000;2579;24882;24882
100;200;60;35;0.300000;2579;24858;24858
101;200;60;29;0.300000;2579;24857;24857
102;200;60;24;0.300000;2579;24772;24772
