NumerGeneracji;Wielkoœæ Populacji;Liczba Krzy¿owañ;Liczba Mutacji;Prawdopodobieñstwo Mutacji;Optymalna Œcie¿ka;Najlepsza Œcie¿ka;Najlepsza w danej Populacji
0;51;16;9;0.300000;538;2143;2143
1;52;16;4;0.300000;538;2143;2143
2;53;16;3;0.300000;538;2143;2143
3;54;16;6;0.300000;538;2143;2143
4;50;16;6;0.300000;538;2122;2122
5;51;16;12;0.300000;538;2122;2122
6;50;16;9;0.300000;538;2069;2069
7;51;16;9;0.300000;538;2069;2069
8;50;16;7;0.300000;538;2011;2011
9;51;16;5;0.300000;538;2011;2011
10;52;16;7;0.300000;538;2011;2011
11;53;16;8;0.300000;538;2011;2011
12;54;16;8;0.300000;538;2011;2011
13;55;16;6;0.300000;538;2011;2011
14;56;16;7;0.300000;538;2011;2011
15;57;16;9;0.300000;538;2011;2011
16;58;16;8;0.300000;538;2011;2011
17;50;16;8;0.300000;538;1997;1997
18;51;16;9;0.300000;538;1997;1997
19;50;16;5;0.300000;538;1984;1984
20;51;16;5;0.300000;538;1984;1984
21;52;16;9;0.300000;538;1984;1984
22;53;16;12;0.300000;538;1984;1984
23;50;16;9;0.300000;538;1970;1970
24;50;16;14;0.300000;538;1950;1950
25;50;16;11;0.300000;538;1930;1930
26;51;16;9;0.300000;538;1930;1930
27;52;16;7;0.300000;538;1930;1930
28;50;16;10;0.300000;538;1907;1907
29;50;16;6;0.300000;538;1903;1903
30;51;16;5;0.300000;538;1903;1903
31;52;16;5;0.300000;538;1903;1903
32;53;16;6;0.300000;538;1903;1903
33;54;16;12;0.300000;538;1903;1903
34;55;16;2;0.300000;538;1903;1903
35;56;16;5;0.300000;538;1903;1903
36;57;16;12;0.300000;538;1903;1903
37;58;16;7;0.300000;538;1903;1903
38;59;16;11;0.300000;538;1903;1903
39;60;16;10;0.300000;538;1903;1903
40;61;16;7;0.300000;538;1903;1903
41;62;16;5;0.300000;538;1903;1903
42;50;16;12;0.300000;538;1895;1895
43;51;16;10;0.300000;538;1895;1895
44;52;16;7;0.300000;538;1895;1895
45;50;16;17;0.300000;538;1852;1852
46;51;16;10;0.300000;538;1852;1852
47;52;16;4;0.300000;538;1852;1852
48;50;16;8;0.300000;538;1827;1827
49;51;16;9;0.300000;538;1827;1827
50;52;16;7;0.300000;538;1827;1827
51;53;16;10;0.300000;538;1827;1827
52;50;16;9;0.300000;538;1824;1824
53;51;16;13;0.300000;538;1824;1824
54;50;16;10;0.300000;538;1797;1797
55;51;16;9;0.300000;538;1797;1797
56;52;16;8;0.300000;538;1797;1797
57;50;16;7;0.300000;538;1788;1788
58;51;16;6;0.300000;538;1788;1788
59;52;16;9;0.300000;538;1788;1788
60;53;16;6;0.300000;538;1788;1788
61;50;16;9;0.300000;538;1775;1775
62;50;16;13;0.300000;538;1762;1762
63;51;16;4;0.300000;538;1762;1762
64;52;16;4;0.300000;538;1762;1762
65;50;16;7;0.300000;538;1759;1759
66;51;16;10;0.300000;538;1759;1759
67;52;16;5;0.300000;538;1759;1759
68;50;16;7;0.300000;538;1751;1751
69;51;16;8;0.300000;538;1751;1751
70;52;16;9;0.300000;538;1751;1751
71;53;16;6;0.300000;538;1751;1751
72;50;16;6;0.300000;538;1736;1736
73;50;16;11;0.300000;538;1727;1727
74;50;16;8;0.300000;538;1724;1724
75;50;16;8;0.300000;538;1716;1716
76;51;16;10;0.300000;538;1716;1716
77;52;16;11;0.300000;538;1716;1716
78;50;16;6;0.300000;538;1709;1709
79;51;16;9;0.300000;538;1709;1709
80;52;16;6;0.300000;538;1709;1709
81;53;16;6;0.300000;538;1709;1709
82;54;16;10;0.300000;538;1709;1709
83;55;16;6;0.300000;538;1709;1709
84;56;16;11;0.300000;538;1709;1709
85;57;16;9;0.300000;538;1709;1709
86;58;16;6;0.300000;538;1709;1709
87;50;16;9;0.300000;538;1701;1701
88;51;16;8;0.300000;538;1701;1701
89;52;16;10;0.300000;538;1701;1701
90;53;16;11;0.300000;538;1701;1701
91;50;16;7;0.300000;538;1680;1680
92;50;16;9;0.300000;538;1644;1644
93;51;16;9;0.300000;538;1644;1644
94;50;16;8;0.300000;538;1609;1609
95;51;16;3;0.300000;538;1609;1609
96;52;16;9;0.300000;538;1609;1609
97;53;16;11;0.300000;538;1609;1609
98;54;16;9;0.300000;538;1609;1609
99;55;16;8;0.300000;538;1609;1609
100;56;16;7;0.300000;538;1609;1609
101;57;16;8;0.300000;538;1609;1609
102;50;16;8;0.300000;538;1596;1596
103;51;16;6;0.300000;538;1596;1596
104;52;16;8;0.300000;538;1596;1596
105;53;16;9;0.300000;538;1596;1596
106;54;16;9;0.300000;538;1596;1596
107;55;16;6;0.300000;538;1596;1596
108;56;16;6;0.300000;538;1596;1596
109;57;16;5;0.300000;538;1596;1596
110;58;16;9;0.300000;538;1596;1596
111;59;16;7;0.300000;538;1596;1596
112;60;16;7;0.300000;538;1596;1596
113;61;16;11;0.300000;538;1596;1596
114;62;16;5;0.300000;538;1596;1596
115;63;16;10;0.300000;538;1596;1596
116;64;16;5;0.300000;538;1596;1596
117;65;16;6;0.300000;538;1596;1596
118;66;16;11;0.300000;538;1596;1596
119;50;16;6;0.300000;538;1579;1579
120;51;16;5;0.300000;538;1579;1579
121;52;16;7;0.300000;538;1579;1579
122;53;16;7;0.300000;538;1579;1579
123;54;16;8;0.300000;538;1579;1579
124;55;16;8;0.300000;538;1579;1579
125;56;16;12;0.300000;538;1579;1579
126;57;16;7;0.300000;538;1579;1579
127;58;16;7;0.300000;538;1579;1579
128;50;16;10;0.300000;538;1577;1577
129;50;16;7;0.300000;538;1567;1567
130;51;16;11;0.300000;538;1567;1567
131;52;16;7;0.300000;538;1567;1567
132;53;16;9;0.300000;538;1567;1567
133;54;16;10;0.300000;538;1567;1567
134;55;16;6;0.300000;538;1567;1567
135;50;16;9;0.300000;538;1561;1561
136;51;16;11;0.300000;538;1561;1561
137;52;16;8;0.300000;538;1561;1561
138;53;16;8;0.300000;538;1561;1561
139;50;16;5;0.300000;538;1560;1560
140;51;16;5;0.300000;538;1560;1560
141;52;16;10;0.300000;538;1560;1560
142;53;16;11;0.300000;538;1560;1560
143;54;16;8;0.300000;538;1560;1560
144;55;16;10;0.300000;538;1560;1560
145;56;16;11;0.300000;538;1560;1560
146;57;16;11;0.300000;538;1560;1560
147;58;16;13;0.300000;538;1560;1560
148;59;16;12;0.300000;538;1560;1560
