Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
1;1;1 do 10;3;0.1178
1;1;1 do 10 000;3;0.0415
1;1;1 do 10 000 000;3;0.032
2;1;1 do 10;3;0.0318
2;1;1 do 10 000;3;0.0325
2;1;1 do 10 000 000;3;0.0317
3;1;1 do 10;3;0.0295
3;1;1 do 10 000;3;0.0379
3;1;1 do 10 000 000;3;0.0253
4;1;1 do 10;3;0.0393
4;1;1 do 10 000;3;0.0329
4;1;1 do 10 000 000;3;0.0271
5;1;1 do 10;3;0.0349
5;1;1 do 10 000;3;0.0414
5;1;1 do 10 000 000;3;0.0424
6;1;1 do 10;3;0.0905
6;1;1 do 10 000;3;0.028
6;1;1 do 10 000 000;3;0.0416
7;1;1 do 10;3;0.037
7;1;1 do 10 000;3;0.0278
7;1;1 do 10 000 000;3;0.0251
8;1;1 do 10;3;0.0326
8;1;1 do 10 000;3;0.0363
8;1;1 do 10 000 000;3;0.0338
9;1;1 do 10;3;0.0283
9;1;1 do 10 000;3;0.0233
9;1;1 do 10 000 000;3;0.028
10;1;1 do 10;3;0.0351
10;1;1 do 10 000;3;0.0259
10;1;1 do 10 000 000;3;0.0253
11;1;1 do 10;3;0.0175
11;1;1 do 10 000;3;0.0169
11;1;1 do 10 000 000;3;0.023
12;1;1 do 10;3;0.0283
12;1;1 do 10 000;3;0.0213
12;1;1 do 10 000 000;3;0.0247
13;1;1 do 10;3;0.0266
13;1;1 do 10 000;3;0.0238
13;1;1 do 10 000 000;3;0.0651
14;1;1 do 10;3;0.0415
14;1;1 do 10 000;3;0.0278
14;1;1 do 10 000 000;3;0.0246
15;1;1 do 10;3;0.0295
15;1;1 do 10 000;3;0.0296
15;1;1 do 10 000 000;3;0.028
16;1;1 do 10;3;0.0175
16;1;1 do 10 000;3;0.0262
16;1;1 do 10 000 000;3;0.1163
17;1;1 do 10;3;0.0269
17;1;1 do 10 000;3;0.0168
17;1;1 do 10 000 000;3;0.0238
18;1;1 do 10;3;0.0264
18;1;1 do 10 000;3;0.0292
18;1;1 do 10 000 000;3;0.0245
19;1;1 do 10;3;0.0182
19;1;1 do 10 000;3;0.0261
19;1;1 do 10 000 000;3;0.0261
20;1;1 do 10;3;0.0246
20;1;1 do 10 000;3;0.0276
20;1;1 do 10 000 000;3;0.0247
21;1;1 do 10;3;0.0318
21;1;1 do 10 000;3;0.0279
21;1;1 do 10 000 000;3;0.0236
22;1;1 do 10;3;0.0182
22;1;1 do 10 000;3;0.0239
22;1;1 do 10 000 000;3;0.0233
23;1;1 do 10;3;0.0183
23;1;1 do 10 000;3;0.0297
