Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
1;1;1 do 10;3;0.0241
1;2;1 do 10;3;0.0222
1;3;1 do 10;3;0.014
1;4;1 do 10;3;0.0182
1;5;1 do 10;3;0.0135
1;1;1 do 10 000;3;0.0137
1;2;1 do 10 000;3;0.0143
1;3;1 do 10 000;3;0.0139
1;4;1 do 10 000;3;0.0139
1;5;1 do 10 000;3;0.0147
1;1;1 do 10 000 000;3;0.0136
1;2;1 do 10 000 000;3;0.0167
1;3;1 do 10 000 000;3;0.0141
1;4;1 do 10 000 000;3;0.0156
1;5;1 do 10 000 000;3;0.0142
2;1;1 do 10;3;0.0228
2;2;1 do 10;3;0.0144
2;3;1 do 10;3;0.0136
2;4;1 do 10;3;0.0147
2;5;1 do 10;3;0.0137
2;1;1 do 10 000;3;0.0153
2;2;1 do 10 000;3;0.025
2;3;1 do 10 000;3;0.0239
2;4;1 do 10 000;3;0.0245
2;5;1 do 10 000;3;0.0162
2;1;1 do 10 000 000;3;0.0238
2;2;1 do 10 000 000;3;0.0136
2;3;1 do 10 000 000;3;0.0265
2;4;1 do 10 000 000;3;0.0258
2;5;1 do 10 000 000;3;0.0141
3;1;1 do 10;3;0.0145
3;2;1 do 10;3;0.0135
3;3;1 do 10;3;0.0147
3;4;1 do 10;3;0.0147
3;5;1 do 10;3;0.0136
3;1;1 do 10 000;3;0.014
3;2;1 do 10 000;3;0.0148
3;3;1 do 10 000;3;0.0136
3;4;1 do 10 000;3;0.0162
3;5;1 do 10 000;3;0.0142
3;1;1 do 10 000 000;3;0.0135
3;2;1 do 10 000 000;3;0.0138
3;3;1 do 10 000 000;3;0.0133
3;4;1 do 10 000 000;3;0.0136
3;5;1 do 10 000 000;3;0.014
4;1;1 do 10;3;0.0227
4;2;1 do 10;3;0.0168
4;3;1 do 10;3;0.0155
4;4;1 do 10;3;0.0145
4;5;1 do 10;3;0.0141
4;1;1 do 10 000;3;0.0148
4;2;1 do 10 000;3;0.0138
4;3;1 do 10 000;3;0.0141
4;4;1 do 10 000;3;0.0155
4;5;1 do 10 000;3;0.0134
4;1;1 do 10 000 000;3;0.013
4;2;1 do 10 000 000;3;0.013
4;3;1 do 10 000 000;3;0.0135
4;4;1 do 10 000 000;3;0.0136
4;5;1 do 10 000 000;3;0.014
5;1;1 do 10;3;0.014
5;2;1 do 10;3;0.0137
5;3;1 do 10;3;0.0136
5;4;1 do 10;3;0.0136
5;5;1 do 10;3;0.0141
5;1;1 do 10 000;3;0.0134
5;2;1 do 10 000;3;0.0138
5;3;1 do 10 000;3;0.0154
5;4;1 do 10 000;3;0.0142
5;5;1 do 10 000;3;0.0135
5;1;1 do 10 000 000;3;0.0131
5;2;1 do 10 000 000;3;0.0135
5;3;1 do 10 000 000;3;0.0131
5;4;1 do 10 000 000;3;0.0138
5;5;1 do 10 000 000;3;0.0146
6;1;1 do 10;3;0.0134
6;2;1 do 10;3;0.0134
6;3;1 do 10;3;0.014
6;4;1 do 10;3;0.0133
6;5;1 do 10;3;0.0135
6;1;1 do 10 000;3;0.0131
6;2;1 do 10 000;3;0.0138
6;3;1 do 10 000;3;0.0141
6;4;1 do 10 000;3;0.0144
6;5;1 do 10 000;3;0.0142
6;1;1 do 10 000 000;3;0.0138
6;2;1 do 10 000 000;3;0.0143
6;3;1 do 10 000 000;3;0.014
6;4;1 do 10 000 000;3;0.0239
6;5;1 do 10 000 000;3;0.014
7;1;1 do 10;3;0.0137
7;2;1 do 10;3;0.0145
7;3;1 do 10;3;0.0142
7;4;1 do 10;3;0.0138
7;5;1 do 10;3;0.0139
